query,intent,api_call.endpoint,api_call.parkCode
Give me a description of Birmingham Civil Rights National Monument,description,parks,bicr
Describe Birmingham Civil Rights National Monument to me,description,parks,bicr
What is the description of Birmingham Civil Rights National Monument?,description,parks,bicr
Tell me about Biscayne National Park,description,parks,bisc
Give me a description of Biscayne National Park,description,parks,bisc
Describe Biscayne National Park to me,description,parks,bisc
What is the description of Biscayne National Park?,description,parks,bisc
Tell me about Black Canyon Of The Gunnison National Park,description,parks,blca
Give me a description of Black Canyon Of The Gunnison National Park,description,parks,blca
Describe Black Canyon Of The Gunnison National Park to me,description,parks,blca
What is the description of Black Canyon Of The Gunnison National Park?,description,parks,blca
Tell me about Blackstone River Valley National Historical Park,description,parks,blrv
Give me a description of Blackstone River Valley National Historical Park,description,parks,blrv
Describe Blackstone River Valley National Historical Park to me,description,parks,blrv
What is the description of Blackstone River Valley National Historical Park?,description,parks,blrv
Tell me about Blackwell School National Historic Site,description,parks,blsc
Give me a description of Blackwell School National Historic Site,description,parks,blsc
Describe Blackwell School National Historic Site to me,description,parks,blsc
What is the description of Blackwell School National Historic Site?,description,parks,blsc
Tell me about Blue Ridge Parkway,description,parks,blri
Give me a description of Blue Ridge Parkway,description,parks,blri
Describe Blue Ridge Parkway to me,description,parks,blri
What is the description of Blue Ridge Parkway?,description,parks,blri
Tell me about Bluestone National Scenic River,description,parks,blue
Give me a description of Bluestone National Scenic River,description,parks,blue
Describe Bluestone National Scenic River to me,description,parks,blue
What is the description of Bluestone National Scenic River?,description,parks,blue
Tell me about Booker T Washington National Monument,description,parks,bowa
Give me a description of Booker T Washington National Monument,description,parks,bowa
Describe Booker T Washington National Monument to me,description,parks,bowa
What is the description of Booker T Washington National Monument?,description,parks,bowa
Tell me about Boston African American National Historic Site,description,parks,boaf
Give me a description of Boston African American National Historic Site,description,parks,boaf
Describe Boston African American National Historic Site to me,description,parks,boaf
What is the description of Boston African American National Historic Site?,description,parks,boaf
Tell me about Boston Harbor Islands National Recreation Area,description,parks,boha
Give me a description of Boston Harbor Islands National Recreation Area,description,parks,boha
Describe Boston Harbor Islands National Recreation Area to me,description,parks,boha
What is the description of Boston Harbor Islands National Recreation Area?,description,parks,boha
Tell me about Boston National Historical Park,description,parks,bost
Give me a description of Boston National Historical Park,description,parks,bost
Describe Boston National Historical Park to me,description,parks,bost
What is the description of Boston National Historical Park?,description,parks,bost
Tell me about Brices Cross Roads National Battlefield Site,description,parks,brcr
Give me a description of Brices Cross Roads National Battlefield Site,description,parks,brcr
Describe Brices Cross Roads National Battlefield Site to me,description,parks,brcr
What is the description of Brices Cross Roads National Battlefield Site?,description,parks,brcr
Tell me about Brown v. Board of Education National Historical Park,description,parks,brvb
Give me a description of Brown v. Board of Education National Historical Park,description,parks,brvb
Describe Brown v. Board of Education National Historical Park to me,description,parks,brvb
What is the description of Brown v. Board of Education National Historical Park?,description,parks,brvb
Tell me about Bryce Canyon National Park,description,parks,brca
Give me a description of Bryce Canyon National Park,description,parks,brca
Describe Bryce Canyon National Park to me,description,parks,brca
What is the description of Bryce Canyon National Park?,description,parks,brca
Tell me about Buck Island Reef National Monument,description,parks,buis
Give me a description of Buck Island Reef National Monument,description,parks,buis
Describe Buck Island Reef National Monument to me,description,parks,buis
What is the description of Buck Island Reef National Monument?,description,parks,buis
Tell me about Buffalo National River,description,parks,buff
Give me a description of Buffalo National River,description,parks,buff
Describe Buffalo National River to me,description,parks,buff
What is the description of Buffalo National River?,description,parks,buff
Tell me about Butterfield Overland National Historic Trail,description,parks,buov
Give me a description of Butterfield Overland National Historic Trail,description,parks,buov
Describe Butterfield Overland National Historic Trail to me,description,parks,buov
What is the description of Butterfield Overland National Historic Trail?,description,parks,buov
Tell me about Cabrillo National Monument,description,parks,cabr
Give me a description of Cabrillo National Monument,description,parks,cabr
Describe Cabrillo National Monument to me,description,parks,cabr
What is the description of Cabrillo National Monument?,description,parks,cabr
Tell me about California National Historic Trail,description,parks,cali
Give me a description of California National Historic Trail,description,parks,cali
Describe California National Historic Trail to me,description,parks,cali
What is the description of California National Historic Trail?,description,parks,cali
Tell me about Camp Nelson National Monument,description,parks,cane
Give me a description of Camp Nelson National Monument,description,parks,cane
Describe Camp Nelson National Monument to me,description,parks,cane
What is the description of Camp Nelson National Monument?,description,parks,cane
Tell me about Canaveral National Seashore,description,parks,cana
Give me a description of Canaveral National Seashore,description,parks,cana
Describe Canaveral National Seashore to me,description,parks,cana
What is the description of Canaveral National Seashore?,description,parks,cana
Tell me about Cane River Creole National Historical Park,description,parks,cari
Give me a description of Cane River Creole National Historical Park,description,parks,cari
Describe Cane River Creole National Historical Park to me,description,parks,cari
What is the description of Cane River Creole National Historical Park?,description,parks,cari
Tell me about Canyon de Chelly National Monument,description,parks,cach
Give me a description of Canyon de Chelly National Monument,description,parks,cach
Describe Canyon de Chelly National Monument to me,description,parks,cach
What is the description of Canyon de Chelly National Monument?,description,parks,cach
Tell me about Canyonlands National Park,description,parks,cany
Give me a description of Canyonlands National Park,description,parks,cany
Describe Canyonlands National Park to me,description,parks,cany
What is the description of Canyonlands National Park?,description,parks,cany
Tell me about Cape Cod National Seashore,description,parks,caco
Give me a description of Cape Cod National Seashore,description,parks,caco
Describe Cape Cod National Seashore to me,description,parks,caco
What is the description of Cape Cod National Seashore?,description,parks,caco
Tell me about Cape Hatteras National Seashore,description,parks,caha
Give me a description of Cape Hatteras National Seashore,description,parks,caha
Describe Cape Hatteras National Seashore to me,description,parks,caha
What is the description of Cape Hatteras National Seashore?,description,parks,caha
Tell me about Cape Henry Memorial Part of Colonial National Historical Park,description,parks,came
Give me a description of Cape Henry Memorial Part of Colonial National Historical Park,description,parks,came
Describe Cape Henry Memorial Part of Colonial National Historical Park to me,description,parks,came
What is the description of Cape Henry Memorial Part of Colonial National Historical Park?,description,parks,came
Tell me about Cape Krusenstern National Monument,description,parks,cakr
Give me a description of Cape Krusenstern National Monument,description,parks,cakr
Describe Cape Krusenstern National Monument to me,description,parks,cakr
What is the description of Cape Krusenstern National Monument?,description,parks,cakr
Tell me about Cape Lookout National Seashore,description,parks,calo
Give me a description of Cape Lookout National Seashore,description,parks,calo
Describe Cape Lookout National Seashore to me,description,parks,calo
What is the description of Cape Lookout National Seashore?,description,parks,calo
Tell me about Capitol Hill Parks,description,parks,cahi
Give me a description of Capitol Hill Parks,description,parks,cahi
Describe Capitol Hill Parks to me,description,parks,cahi
What is the description of Capitol Hill Parks?,description,parks,cahi
Tell me about Capitol Reef National Park,description,parks,care
Give me a description of Capitol Reef National Park,description,parks,care
Describe Capitol Reef National Park to me,description,parks,care
What is the description of Capitol Reef National Park?,description,parks,care
Tell me about Captain John Smith Chesapeake National Historic Trail,description,parks,cajo
Give me a description of Captain John Smith Chesapeake National Historic Trail,description,parks,cajo
Describe Captain John Smith Chesapeake National Historic Trail to me,description,parks,cajo
What is the description of Captain John Smith Chesapeake National Historic Trail?,description,parks,cajo
Tell me about Capulin Volcano National Monument,description,parks,cavo
Give me a description of Capulin Volcano National Monument,description,parks,cavo
Describe Capulin Volcano National Monument to me,description,parks,cavo
What is the description of Capulin Volcano National Monument?,description,parks,cavo
Tell me about Carl Sandburg Home National Historic Site,description,parks,carl
Give me a description of Carl Sandburg Home National Historic Site,description,parks,carl
Describe Carl Sandburg Home National Historic Site to me,description,parks,carl
What is the description of Carl Sandburg Home National Historic Site?,description,parks,carl
Tell me about Carlsbad Caverns National Park,description,parks,cave
Give me a description of Carlsbad Caverns National Park,description,parks,cave
Describe Carlsbad Caverns National Park to me,description,parks,cave
What is the description of Carlsbad Caverns National Park?,description,parks,cave
Tell me about Carter G. Woodson Home National Historic Site,description,parks,cawo
Give me a description of Carter G. Woodson Home National Historic Site,description,parks,cawo
Describe Carter G. Woodson Home National Historic Site to me,description,parks,cawo
What is the description of Carter G. Woodson Home National Historic Site?,description,parks,cawo
Tell me about Casa Grande Ruins National Monument,description,parks,cagr
Give me a description of Casa Grande Ruins National Monument,description,parks,cagr
Describe Casa Grande Ruins National Monument to me,description,parks,cagr
What is the description of Casa Grande Ruins National Monument?,description,parks,cagr
Tell me about Castillo de San Marcos National Monument,description,parks,casa
Give me a description of Castillo de San Marcos National Monument,description,parks,casa
Describe Castillo de San Marcos National Monument to me,description,parks,casa
What is the description of Castillo de San Marcos National Monument?,description,parks,casa
Tell me about Castle Clinton National Monument,description,parks,cacl
Give me a description of Castle Clinton National Monument,description,parks,cacl
Describe Castle Clinton National Monument to me,description,parks,cacl
What is the description of Castle Clinton National Monument?,description,parks,cacl
Tell me about Castle Mountains National Monument,description,parks,camo
Give me a description of Castle Mountains National Monument,description,parks,camo
Describe Castle Mountains National Monument to me,description,parks,camo
What is the description of Castle Mountains National Monument?,description,parks,camo
Tell me about Catoctin Mountain Park,description,parks,cato
Give me a description of Catoctin Mountain Park,description,parks,cato
Describe Catoctin Mountain Park to me,description,parks,cato
What is the description of Catoctin Mountain Park?,description,parks,cato
Tell me about Cedar Breaks National Monument,description,parks,cebr
Give me a description of Cedar Breaks National Monument,description,parks,cebr
Describe Cedar Breaks National Monument to me,description,parks,cebr
What is the description of Cedar Breaks National Monument?,description,parks,cebr
Tell me about Cedar Creek & Belle Grove National Historical Park,description,parks,cebe
Give me a description of Cedar Creek & Belle Grove National Historical Park,description,parks,cebe
Describe Cedar Creek & Belle Grove National Historical Park to me,description,parks,cebe
What is the description of Cedar Creek & Belle Grove National Historical Park?,description,parks,cebe
Tell me about Chaco Culture National Historical Park,description,parks,chcu
Give me a description of Chaco Culture National Historical Park,description,parks,chcu
Describe Chaco Culture National Historical Park to me,description,parks,chcu
What is the description of Chaco Culture National Historical Park?,description,parks,chcu
Tell me about Chamizal National Memorial,description,parks,cham
Give me a description of Chamizal National Memorial,description,parks,cham
Describe Chamizal National Memorial to me,description,parks,cham
What is the description of Chamizal National Memorial?,description,parks,cham
Tell me about Channel Islands National Park,description,parks,chis
Give me a description of Channel Islands National Park,description,parks,chis
Describe Channel Islands National Park to me,description,parks,chis
What is the description of Channel Islands National Park?,description,parks,chis
Tell me about Charles Pinckney National Historic Site,description,parks,chpi
Give me a description of Charles Pinckney National Historic Site,description,parks,chpi
Describe Charles Pinckney National Historic Site to me,description,parks,chpi
What is the description of Charles Pinckney National Historic Site?,description,parks,chpi
Tell me about Charles Young Buffalo Soldiers National Monument,description,parks,chyo
Give me a description of Charles Young Buffalo Soldiers National Monument,description,parks,chyo
Describe Charles Young Buffalo Soldiers National Monument to me,description,parks,chyo
What is the description of Charles Young Buffalo Soldiers National Monument?,description,parks,chyo
Tell me about Chattahoochee River National Recreation Area,description,parks,chat
Give me a description of Chattahoochee River National Recreation Area,description,parks,chat
Describe Chattahoochee River National Recreation Area to me,description,parks,chat
What is the description of Chattahoochee River National Recreation Area?,description,parks,chat
Tell me about Chesapeake & Ohio Canal National Historical Park,description,parks,choh
Give me a description of Chesapeake & Ohio Canal National Historical Park,description,parks,choh
Describe Chesapeake & Ohio Canal National Historical Park to me,description,parks,choh
What is the description of Chesapeake & Ohio Canal National Historical Park?,description,parks,choh
Tell me about Chesapeake Bay,description,parks,cbpo
Give me a description of Chesapeake Bay,description,parks,cbpo
Describe Chesapeake Bay to me,description,parks,cbpo
What is the description of Chesapeake Bay?,description,parks,cbpo
Tell me about Chickamauga & Chattanooga National Military Park,description,parks,chch
Give me a description of Chickamauga & Chattanooga National Military Park,description,parks,chch
Describe Chickamauga & Chattanooga National Military Park to me,description,parks,chch
What is the description of Chickamauga & Chattanooga National Military Park?,description,parks,chch
Tell me about Chickasaw National Recreation Area,description,parks,chic
Give me a description of Chickasaw National Recreation Area,description,parks,chic
Describe Chickasaw National Recreation Area to me,description,parks,chic
What is the description of Chickasaw National Recreation Area?,description,parks,chic
Tell me about Chiricahua National Monument,description,parks,chir
Give me a description of Chiricahua National Monument,description,parks,chir
Describe Chiricahua National Monument to me,description,parks,chir
What is the description of Chiricahua National Monument?,description,parks,chir
Tell me about Christiansted National Historic Site,description,parks,chri
Give me a description of Christiansted National Historic Site,description,parks,chri
Describe Christiansted National Historic Site to me,description,parks,chri
What is the description of Christiansted National Historic Site?,description,parks,chri
Tell me about City Of Rocks National Reserve,description,parks,ciro
Give me a description of City Of Rocks National Reserve,description,parks,ciro
Describe City Of Rocks National Reserve to me,description,parks,ciro
What is the description of City Of Rocks National Reserve?,description,parks,ciro
Tell me about Civil War Defenses of Washington,description,parks,cwdw
Give me a description of Civil War Defenses of Washington,description,parks,cwdw
Describe Civil War Defenses of Washington to me,description,parks,cwdw
What is the description of Civil War Defenses of Washington?,description,parks,cwdw
Tell me about Clara Barton National Historic Site,description,parks,clba
Give me a description of Clara Barton National Historic Site,description,parks,clba
Describe Clara Barton National Historic Site to me,description,parks,clba
What is the description of Clara Barton National Historic Site?,description,parks,clba
Tell me about Colonial National Historical Park,description,parks,colo
Give me a description of Colonial National Historical Park,description,parks,colo
Describe Colonial National Historical Park to me,description,parks,colo
What is the description of Colonial National Historical Park?,description,parks,colo
Tell me about Colorado National Monument,description,parks,colm
Give me a description of Colorado National Monument,description,parks,colm
Describe Colorado National Monument to me,description,parks,colm
What is the description of Colorado National Monument?,description,parks,colm
Tell me about Coltsville National Historical Park,description,parks,colt
Give me a description of Coltsville National Historical Park,description,parks,colt
Describe Coltsville National Historical Park to me,description,parks,colt
What is the description of Coltsville National Historical Park?,description,parks,colt
Tell me about Congaree National Park,description,parks,cong
Give me a description of Congaree National Park,description,parks,cong
Describe Congaree National Park to me,description,parks,cong
What is the description of Congaree National Park?,description,parks,cong
Tell me about Constitution Gardens,description,parks,coga
Give me a description of Constitution Gardens,description,parks,coga
Describe Constitution Gardens to me,description,parks,coga
What is the description of Constitution Gardens?,description,parks,coga
Tell me about Coronado National Memorial,description,parks,coro
Give me a description of Coronado National Memorial,description,parks,coro
Describe Coronado National Memorial to me,description,parks,coro
What is the description of Coronado National Memorial?,description,parks,coro
Tell me about Cowpens National Battlefield,description,parks,cowp
Give me a description of Cowpens National Battlefield,description,parks,cowp
Describe Cowpens National Battlefield to me,description,parks,cowp
What is the description of Cowpens National Battlefield?,description,parks,cowp
Tell me about Crater Lake National Park,description,parks,crla
Give me a description of Crater Lake National Park,description,parks,crla
Describe Crater Lake National Park to me,description,parks,crla
What is the description of Crater Lake National Park?,description,parks,crla
Tell me about Craters Of The Moon National Monument & Preserve,description,parks,crmo
Give me a description of Craters Of The Moon National Monument & Preserve,description,parks,crmo
Describe Craters Of The Moon National Monument & Preserve to me,description,parks,crmo
What is the description of Craters Of The Moon National Monument & Preserve?,description,parks,crmo
Tell me about Cumberland Gap National Historical Park,description,parks,cuga
Give me a description of Cumberland Gap National Historical Park,description,parks,cuga
Describe Cumberland Gap National Historical Park to me,description,parks,cuga
What is the description of Cumberland Gap National Historical Park?,description,parks,cuga
Tell me about Cumberland Island National Seashore,description,parks,cuis
Give me a description of Cumberland Island National Seashore,description,parks,cuis
Describe Cumberland Island National Seashore to me,description,parks,cuis
What is the description of Cumberland Island National Seashore?,description,parks,cuis
Tell me about Curecanti National Recreation Area,description,parks,cure
Give me a description of Curecanti National Recreation Area,description,parks,cure
Describe Curecanti National Recreation Area to me,description,parks,cure
What is the description of Curecanti National Recreation Area?,description,parks,cure
Tell me about Cuyahoga Valley National Park,description,parks,cuva
Give me a description of Cuyahoga Valley National Park,description,parks,cuva
Describe Cuyahoga Valley National Park to me,description,parks,cuva
What is the description of Cuyahoga Valley National Park?,description,parks,cuva
Tell me about César E. Chávez National Monument,description,parks,cech
Give me a description of César E. Chávez National Monument,description,parks,cech
Describe César E. Chávez National Monument to me,description,parks,cech
What is the description of César E. Chávez National Monument?,description,parks,cech
Tell me about Dayton Aviation Heritage National Historical Park,description,parks,daav
Give me a description of Dayton Aviation Heritage National Historical Park,description,parks,daav
Describe Dayton Aviation Heritage National Historical Park to me,description,parks,daav
What is the description of Dayton Aviation Heritage National Historical Park?,description,parks,daav
Tell me about De Soto National Memorial,description,parks,deso
Give me a description of De Soto National Memorial,description,parks,deso
Describe De Soto National Memorial to me,description,parks,deso
What is the description of De Soto National Memorial?,description,parks,deso
Tell me about Death Valley National Park,description,parks,deva
Give me a description of Death Valley National Park,description,parks,deva
Describe Death Valley National Park to me,description,parks,deva
What is the description of Death Valley National Park?,description,parks,deva
Tell me about Delaware Water Gap National Recreation Area,description,parks,dewa
Give me a description of Delaware Water Gap National Recreation Area,description,parks,dewa
Describe Delaware Water Gap National Recreation Area to me,description,parks,dewa
What is the description of Delaware Water Gap National Recreation Area?,description,parks,dewa
Tell me about Denali National Park & Preserve,description,parks,dena
Give me a description of Denali National Park & Preserve,description,parks,dena
Describe Denali National Park & Preserve to me,description,parks,dena
What is the description of Denali National Park & Preserve?,description,parks,dena
Tell me about Devils Postpile National Monument,description,parks,depo
Give me a description of Devils Postpile National Monument,description,parks,depo
Describe Devils Postpile National Monument to me,description,parks,depo
What is the description of Devils Postpile National Monument?,description,parks,depo
Tell me about Devils Tower National Monument,description,parks,deto
Give me a description of Devils Tower National Monument,description,parks,deto
Describe Devils Tower National Monument to me,description,parks,deto
What is the description of Devils Tower National Monument?,description,parks,deto
Tell me about Dinosaur National Monument,description,parks,dino
Give me a description of Dinosaur National Monument,description,parks,dino
Describe Dinosaur National Monument to me,description,parks,dino
What is the description of Dinosaur National Monument?,description,parks,dino
Tell me about Dry Tortugas National Park,description,parks,drto
Give me a description of Dry Tortugas National Park,description,parks,drto
Describe Dry Tortugas National Park to me,description,parks,drto
What is the description of Dry Tortugas National Park?,description,parks,drto
Tell me about Dwight D. Eisenhower Memorial,description,parks,ddem
Give me a description of Dwight D. Eisenhower Memorial,description,parks,ddem
Describe Dwight D. Eisenhower Memorial to me,description,parks,ddem
What is the description of Dwight D. Eisenhower Memorial?,description,parks,ddem
Tell me about Ebey's Landing National Historical Reserve,description,parks,ebla
Give me a description of Ebey's Landing National Historical Reserve,description,parks,ebla
Describe Ebey's Landing National Historical Reserve to me,description,parks,ebla
What is the description of Ebey's Landing National Historical Reserve?,description,parks,ebla
Tell me about Edgar Allan Poe National Historic Site,description,parks,edal
Give me a description of Edgar Allan Poe National Historic Site,description,parks,edal
Describe Edgar Allan Poe National Historic Site to me,description,parks,edal
What is the description of Edgar Allan Poe National Historic Site?,description,parks,edal
Tell me about Effigy Mounds National Monument,description,parks,efmo
Give me a description of Effigy Mounds National Monument,description,parks,efmo
Describe Effigy Mounds National Monument to me,description,parks,efmo
What is the description of Effigy Mounds National Monument?,description,parks,efmo
Tell me about Eisenhower National Historic Site,description,parks,eise
Give me a description of Eisenhower National Historic Site,description,parks,eise
Describe Eisenhower National Historic Site to me,description,parks,eise
What is the description of Eisenhower National Historic Site?,description,parks,eise
Tell me about El Camino Real de Tierra Adentro National Historic Trail,description,parks,elca
Give me a description of El Camino Real de Tierra Adentro National Historic Trail,description,parks,elca
Describe El Camino Real de Tierra Adentro National Historic Trail to me,description,parks,elca
